program,lat,lng,type_fp,type_sk,phone,address,boro,zip,loc_info,status,program_type,fp_hours,sk_hours
PROJECT CREATE - ANTHONY HOUSE,40.800592350215,-73.9510697843279,FP,,(212) 663-1596,"73 Lenox Ave, New York, NY, 10026, USA",NY,10026,,Open,FP,Wed 10:00 AM-12:00 PM,
RAUSCHENBUSCH METRO MINISTRIES INC. ,40.757317548039,-73.994265922343,FP,,(212) 594-4464,"410 W 40th St, New York, New York, 10018",NY,10018,,Open,FP,Sat 09:00 AM-11:30 AM,
ST. CECILIA'S PARISH SERVICES,40.7919273063503,-73.9473274321981,FP,,(212) 348-0488,"125 E 105th St, New York, New York, 10029",NY,10029,,Open,FP,Wed 09:00 AM-12:00 PM,
ST. CHARLES BORROMEO CHURCH,40.8195384269671,-73.9417043486339,FP,,(212) 281-2100,"211 W 141st St, New York, New York, 10030",NY,10030,,Open,FP,Sat 09:00 AM-11:30 AM,
ST. JOHN'S BREAD OF LIFE (FP),40.74891083443,-73.993213825856,FP,,(212) 564-9070,"213 W 30th St, New York, New York, 10001",NY,10001,,Open,FP,Wed 10:00 AM-01:00 PM,
ST. MARK THE EVANGELIST CHURCH,40.815886934668,-73.938845952013,FP,,(212) 281-4931,"67 W 138th St, New York, New York, 10037",NY,10037,,Open,FP,Sat 10:00 AM-12:00 PM,
THE SALVATION ARMY MANHATTAN CITADEL,40.803901145509,-73.9361381224144,FP,,(212) 860-3200,"175 E 125th St, New York, New York, 10035",NY,10035,,Open,FP,Mon 09:00 AM-03:00 PM; Tue 09:00 AM-03:00 PM; Wed 09:00 AM-03:00 PM; Thu 09:00 AM-03:00 PM; Fri 09:00 AM-03:00 PM,
THE SALVATION ARMY NEW YORK TEMPLE CORPS ,40.7378272762233,-73.9983262000598,FP,,(212) 337-7467,"120 W 14th St, New York, NY, 10011, USA",NY,10011,,Open,FP,Mon 09:30 AM-11:30 AM; Tue 09:30 AM-11:30 AM; Wed 09:30 AM-11:30 AM; Thu 09:30 AM-11:30 AM; Fri 09:30 AM-11:30 AM,
VISION URBANA,40.7173839401069,-73.9884646395168,FP,,(646) 626-9748,"64 Essex St, New York, NY, 10002, USA",NY,10002,,Open,FP,Tue 10:00 AM-12:00 PM,
"WORLDWIDE MISSIONARY MOVEMENT/CENTRO EVANGELISTICO MMM, INC (FP)",40.865131328285,-73.918899872303,FP,,(212) 567-5620,"148 Post Ave, New York, NY, 10034, USA",NY,10034,,Open,FP,Sat 10:00 AM-12:00 PM,
ZEINA LORRAINE INC,40.8142538046531,-73.9449449600396,FP,,(646) 355-3880,"203 W 133rd St, New York, New York, 10030",NY,10030,,Open,FP,Tue 11:00 AM-02:00 PM; Thu 11:00 AM-02:00 PM,
AGAPE CHRISTIAN CENTER,40.6992807894476,-73.8978069805996,FP,,(718) 635-0674,"59-02 Summerfield St, Ridgewood, New York, 11385",QN,11385,,Open,FP,Sat 10:00 AM-11:30 AM,
ALLEN OUTREACH MINISTRY FEEDING PROGRAM (80866),40.69491406935,-73.781491980786,FP,,(718) 526-3510,"110-31 Merrick Blvd, Jamaica, New York, 11433",QN,11433,,Open,FP,Mon 03:00 PM-05:00 PM; Thu 11:00 AM-01:00 PM,
BERACA SEVENTH DAY ADVENTIST CHURCH,40.7120303347297,-73.768177159954,FP,,(718) 740-1916,"91-19 191st St, Hollis, New York, 11423",QN,11423,,Open,FP,Wed 09:30 AM-12:00 PM,
BETHANY BAPTIST CHURCH OF JAMAICA,40.6903166792776,-73.7916654319464,FP,,(718) 659-6099,"157-11 111th Ave, Jamaica, New York, 11433",QN,11433,,Open,FP,Tue 11:00 AM-02:00 PM; Wed 11:00 AM-02:00 PM,
BETHEL AME CHURCH/BETHEL ARVERNE COMM.,40.588830355829,-73.804509776553,FP,,(516) 503-9715,"215 Beach 77th St, Arverne, New York, 11692",QN,11692,,Open,FP,Thu 11:00 AM-01:00 PM,
BLANCHE MEMORIAL CHURCH,40.690065347911,-73.797055079507,FP,,(718) 658-2458,"109-74 Sutphin Blvd, Jamaica, New York, 11435",QN,11435,,Open,FP,Tue 09:00 AM-10:00 AM,
"CHRIST APOSTOLIC CHURCH OF AMERICA, INC (FP)",40.692895120332,-73.799471330736,FP,,(718) 658-8981,"108-02 Sutphin Blvd, Jamaica, New York, 11435",QN,11435,,Open,FP,Sat 09:00 AM-01:00 PM,
CHRIST CHURCH INTERNATIONAL JOSEPH'S HOUSE,40.6828197793489,-73.7697998964087,FP,,(718) 276-2799,"122-20 Merrill St, Jamaica, New York, 11434",QN,11434,,Open,FP,Sat 10:00 AM-12:00 PM,
COMMUNITY ALLIANCE INITIATIVE,40.7008576349825,-73.8952422020469,FP,,(718) 305-4888,"60-85 Myrtle Ave, Ridgewood, New York, 11385",QN,11385,,Open,FP,Fri 10:00 AM-12:00 PM,
CORPUS CHRISTI FOOD PANTRY,40.756493104043,-73.901848566673,FP,,(718) 721-2774,"31-30 61st St, Woodside, New York, 11377",QN,11377,,Open,FP,Wed 09:00 AM-10:30 AM,
ELMCOR YOUTH & ADULT ACTIVITIES #2 (FP),40.757254767584,-73.861095082881,FP,,(718) 651-0096,"33-16 108th St, Corona, New York, 11368",QN,11368,,Open,FP,Wed 10:00 AM-03:00 PM,
"FIRST CHURCH OF GOD IN CHRIST, INC. (FP)",40.690313242697,-73.763010722475,FP,,(718) 712-4831,"187-10 Baisley Blvd, Saint Albans, New York, 11412",QN,11412,,Open,FP,Wed 12:00 PM-03:00 PM,
FIRST UNITED METHODIST CHURCH OF JAMAICA (FP),40.709765376854,-73.800760970358,FP,,(718) 739-2269,"162-10 Highland Ave, Jamaica, New York, 11432",QN,11432,,Open,FP,Mon 08:30 AM-09:30 AM,
FOREST HILLS SENIORS CENTER,40.736169335775,-73.850150748086,FP,,(929) 349-9740,"108-25 62nd Dr, Forest Hills, New York, 11375",QN,11375,,Open,FP,Thu 08:30 AM-10:30 AM,
GOSPEL ASSEMBLY - QUEENS,40.703583387986,-73.766861033517,FP,,(718) 454-0192,"109-14 Farmers Blvd, Saint Albans, New York, 11412",QN,11412,,Open,FP,Wed 10:00 AM-12:00 PM; Thu 10:00 AM-12:00 PM; Fri 10:00 AM-12:00 PM; Sat 10:00 AM-12:00 PM,
HOLLIS COMMUNITY CHRISTIAN CENTER,40.7127329896729,-73.7678960309214,FP,,(347) 626-7996,"191-22 Jamaica Ave, Hollis, New York, 11423",QN,11423,,Open,FP,Sat 10:00 AM-12:00 PM,
"HOLY TEMPLE CHURCH, INC",40.677109859268,-73.755086638851,FP,,(718) 276-2900,"136-25 Springfield Blvd, Springfield Gardens, New York, 11413",QN,11413,,Open,FP,Sat 11:00 AM-12:00 PM,
ICNA FLUSHING FOOD PANTRY,40.7542206185064,-73.8221654353284,FP,,(929) 329-7986,"140-32 Cherry Ave, Flushing, New York, 11355",QN,11355,,Open,FP,Wed 12:00 PM-02:00 PM,
ICNA RELIEF USA,40.704513779238,-73.811671777541,FP,,(718) 658-7028,"87-91 144th St, Jamaica, New York, 11435",QN,11435,,Open,FP,Thu 11:00 AM-01:00 PM,
J.U.S.T.I.C.E. ORGANIZATION/JESUS IS JUSTICE MISSION INC.,40.595606537813,-73.761348926351,FP,,(718) 772-7951,"223 Beach 28th St, Far Rockaway, New York, 11691",QN,11691,,Open,FP,Wed 12:00 PM-02:00 PM,
JAMAICA HISPANIC SEVENTH DAY ADVENTIST CHURCH,40.707357549437944,-73.80077957818321,FP,,(718) 736-5291,"88-28 161st St, Jamaica, New York, 11432",QN,11432,,Open,FP,Sun 08:00 AM-09:00 AM,
JAMAICA QUEENS WESLEYAN CHURCH PANTRY,40.6753124439508,-73.742797427691,FP,,(718) 712-0335,"134-49 228th St, Laurelton, NY, 11413, USA",QN,11413,,Open,FP,Sat 12:00 PM-01:30 PM,
JAMAICA SEVENTH DAY ADVENTIST CHURCH (FP),40.707890931847,-73.798958609718,FP,,(718) 658-9784,"88-28 163rd St, Jamaica, New York, 11432",QN,11432,,Open,FP,Sun 09:30 AM-11:30 AM,
JESUS IS THE ANSWER - J.I.T.A. COMMUNITY OUTREACH (FP),40.713893883263,-73.754630830956,FP,,(718) 908-6303,"205-11 Jamaica Ave, Hollis, NY, 11423, USA",QN,11423,,Open,FP,Tue 12:00 PM-01:00 PM,
LEVITICUS CHURCH (FP),40.682375831847,-73.806131423361,FP,,(718) 322-1095,"114-12 Van Wyck Expy, South Ozone Park, New York, 11420",QN,11420,,Open,FP,Wed 01:00 PM-02:00 PM; Sat 12:00 PM-01:00 PM,
LINDEN SEVENTH DAY ADVENTIST CHURCH COMMUNITY SERVICES (FP),40.673140776657,-73.743827479772,FP,,(718) 527-4072,"228-20 137th Ave, Springfield Gardens, New York, 11413",QN,11413,,Open,FP,Sun 10:00 AM-12:00 PM,
MAJORITY COMMUNITY OUTREACH,40.69545812434962,-73.7615810687825,FP,,(718) 528-6690,"115-21 Farmers Blvd, Saint Albans, New York, 11412",QN,11412,,Open,FP,Thu 09:00 AM-11:00 AM,
MAKE THE ROAD NEW YORK        (QN),40.748514873324,-73.874423817673,FP,,(718) 565-8500,"92-10 Roosevelt Ave, Jackson Heights, NY, 11372, USA",QN,11373,,Open,FP,Wed 08:00 AM-10:00 AM,
MINISTRY TOOLS INC,40.6766449,-73.776844,FP,,(718) 529-0005,"170-20 140th Ave, Jamaica, New York, 11434",QN,11434,,Open,FP,Thu 04:00 PM-06:00 PM,
MORE THAN CONQUERORS GLOBAL MINISTRIES INC,40.66918313534427,-73.78250049137627,FP,,(718) 528-3334,"153-56 Rockaway Blvd, Jamaica, New York, 11434",QN,11434,,Open,FP,Sat 02:00 PM-04:00 PM,
MOUNT SINAI SEVENTH DAY ADVENTIST CHURCH,40.72109381224961,-73.74005070200047,FP,,(718) 465-1784,"217-10 93rd Ave, Queens Village, New York, 11428",QN,11428,,Open,FP,Wed 05:00 PM-07:00 PM,
NATIONAL SORORITY OF PHI DELTA KAPPA,40.6867022349903,-73.7746964366057,FP,,(718) 723-1119,"117-08 Merrick Blvd, Jamaica, New York, 11434",QN,11434,,Open,FP,Thu 11:00 AM-01:00 PM,
NORTHEAST CONFERENCE COMMUNITY CENTER SDA,40.757447928543,-73.86895990645,FP,,(347) 527-2444,"99-13 Northern Blvd, East Elmhurst, New York, 11369",QN,11369,,Open,FP,Tue 11:00 AM-01:00 PM; Wed 03:00 PM-06:00 PM,
ONE WAY CHURCH OF CHRIST,40.6801782225632,-73.7523253046685,FP,,(718) 525-4260,"216-11 Merrick Blvd, Springfield Gardens, New York, 11413",QN,11413,,Open,FP,Sat 11:00 AM-01:00 PM,
QUEENSBORO TEMPLE SEVENTH DAY ADVENTIST CHURCH,40.71813283936383,-73.7317494969437,FP,,(718) 776-8538,"96-50 222nd St, Queens Village, New York, 11429",QN,11429,,Open,FP,Wed 01:00 PM-04:00 PM,
SECOND CHANCE AGAPE WORSHIP CENTER,40.7060513555566,-73.7571810249971,FP,,(917) 416-3697,"200-12 Hollis Ave, Saint Albans, New York, 11412",QN,11412,,Open,FP,Thu 12:00 PM-02:00 PM,
SINGH FAMILY CHARITY INC (85556),40.676953033859,-73.790635547503,FP,,(718) 480-6700,"121-13 Sutphin Blvd, Jamaica, New York, 11434",QN,11434,,Open,FP,Sat 08:00 AM-10:00 AM,
SOLID ROCK SEVENTH DAY ADVENTIST CHURCH (FP),40.593483988472,-73.780484978939,FP,,(718) 474-9306,"52-05 Rockaway Beach Blvd, Far Rockaway, New York, 11691",QN,11691,,Open,FP,Wed 02:30 PM-05:30 PM,
SOUTH ASIAN COUNCIL FOR SOCIAL SERVICES,40.753835873098,-73.818216283721,FP,,(718) 321-7929,"143-02 45th Ave, Flushing, New York, 11355",QN,11355,,Open,FP,Wed 09:30 AM-01:00 PM; Thu 09:30 AM-01:00 PM,
SOUTH OZONE PARK SEVENTH DAY ADVENTIST CHURCH,40.675624083110876,-73.80110655622609,FP,,(718) 322-9210,"120-12 140th St, Jamaica, New York, 11436",QN,11436,,Open,FP,Wed 12:00 PM-02:00 PM,
ST. MARK AME CHURCH/THE VOICE OF HAGAR,40.756756044345,-73.872420794271,FP,,(718) 205-0506,"95-18 Northern Blvd, Jackson Heights, New York, 11372",QN,11372,,Open,FP,Tue 10:00 AM-12:30 PM,
ST. MARY STAR OF THE SEA,40.60068898862261,-73.75262990302994,FP,,(718) 327-1133,"19-20 New Haven Ave, Far Rockaway, NY, 11691, USA",QN,11691,,Open,FP,Tue 01:00 PM-03:00 PM,
ST. NICHOLAS OF TOLENTINE CHURCH- F.P.,40.7184254753955,-73.809608488255,FP,,(718) 969-3226,"150-75 Goethals Ave, Jamaica, New York, 11432",QN,11432,,Open,FP,Thu 09:00 AM-12:00 PM,
ST. TERESA OF AVILA COMMUNITY SERVICES,40.684362104919,-73.81320696364,FP,,(718) 529-3587,"109-24 130th St, South Ozone Park, NY, 11420, USA",QN,11420,,Open,FP,Mon 09:00 AM-10:30 AM; Thu 09:00 AM-10:30 AM,
TABERNACLE OF PRAYER,40.706839296365,-73.794500023962,FP,,(718) 657-4210,"90-07 Merrick Blvd, Jamaica, New York, 11432",QN,11432,,Open,FP,Wed 10:00 AM-11:30 AM,
TAURUS ASSOCIATES INC.,40.6719841997474,-73.7343242455899,FP,,(718) 526-2177,"240-08 135th Ave, Rosedale, NY, 11422, USA",QN,11422,,Open,FP,Wed 03:00 PM-05:00 PM,
THE SALVATION ARMY ASTORIA CORPS,40.7567003885083,-73.9144419570986,FP,,(718) 721-9046,"45-18 Broadway, Astoria, New York, 11103",QN,11103,,Open,FP,Tue 10:00 AM-02:00 PM; Thu 10:00 AM-02:00 PM,
UNION UNITED FOOD PANTRY (FP),40.67237613754,-73.788664207695,FP,,(718) 529-3691,"126-22 150th St, Jamaica, New York, 11436",QN,11436,,Open,FP,Fri 12:00 PM-03:00 PM,
V.E.T.S. INC,40.694836494836,-73.779416956836,FP,,(718) 206-2376,"111-16 173rd St, Jamaica, New York, 11433",QN,11433,,Open,FP,Fri 10:00 AM-12:00 PM,
"VETS INC, HOLLIS GARDENS",40.7063096858125,-73.7549966172106,FP,,(646) 261-1973,"202-14 Hollis Ave, Saint Albans, New York, 11412",QN,11412,,Open,FP,Thu 03:00 PM-05:00 PM,
VFW #5298,40.66809223064598,-73.75665849715315,FP,,(516) 582-5426,"143-17 Springfield Blvd, Springfield Gardens, New York, 11413",QN,11413,,Open,FP,Wed 02:00 PM-05:00 PM,
WE CARE PANTRY (FP),40.70616446934,-73.755991632937,FP,,(718) 774-7041,"201-14 Hollis Ave, Saint Albans, New York, 11412",QN,11412,,Open,FP,Sat 10:00 AM-12:00 PM,
CALVARY ASSEMBLY OF GOD,40.539694465948,-74.160540334024,FP,,(718) 356-4555,"4055 Richmond Ave, Staten Island, New York, 10312",SI,10312,,Open,FP,Thu 09:30 AM-12:00 PM,
CHRIST ABUNDANT LIFE MINISTRIES,40.636459891981,-74.16495047238,FP,,(718) 273-0372,"121 Grandview Ave, Staten Island, New York, 10303",SI,10303,,Open,FP,Thu 05:30 PM-06:30 PM,
CHRISTIAN PENTECOSTAL CHURCH (FP),40.604892513065,-74.092353216415,FP,,(718) 273-5850,"900 Richmond Rd, Staten Island, New York, 10304",SI,10304,,Open,FP,Tue 01:00 PM-04:00 PM,
FEEDING WITH TLC INC,40.6303035098269,-74.0811803909397,FP,,(718) 447-0526,"309 St Pauls Ave, Staten Island, New York, 10304",SI,10304,,Open,FP,Sat 10:30 AM-12:30 PM,
OUR LADY OF GOOD COUNSEL CHURCH (STATEN ISLAND),40.631313361521,-74.086033261421,FP,,(718) 447-1503,"42 Austin Pl, Staten Island, New York, 10304",SI,10304,,Open,FP,Sat 09:30 AM-11:00 AM,
SKYLIGHT CENTER,40.6425731073332,-74.0782850301258,FP,,(718) 720-2585,"307 St Marks Pl, Staten Island, New York, 10301",SI,10301,,Open,FP,Tue 02:00 PM-03:00 PM,
ST. EDWARD FOOD PANTRY,40.511892196029,-74.222442952088,FP,,(718) 984-1625,"6581 Hylan Blvd, Staten Island, New York, 10309",SI,10309,,Open,FP,Fri 10:00 AM-01:00 PM,
"UNITED CHURCH OF PRAISE INTERNATIONAL MINISTRIES, INC",40.614535892668,-74.085750120732,FP,,(718) 314-8779,"487 Vanderbilt Ave, Staten Island, NY, 10304, USA",SI,10304,,Open,FP,Fri 01:00 PM-03:00 PM; Sun 01:00 PM-03:00 PM,
EVANGELICAL CRUSADE FOOD PANTRY (FP),40.637301728426,-73.947014116657,FP,,(718) 434-7250,"557 E 31st St, Brooklyn, New York, 11210",BK,11210,,Open,FP,Wed 02:00 PM-04:00 PM,
"WEST HARLEM GROUP ASSISTANCE, INC",40.818223012992,-73.938188391709,FPM,,"(212) 832-1399,2723","625 Lenox Ave, New York, New York, 10030",NY,10030,,Open,FP,Mon 10:00 AM-02:00 PM; Tue 10:00 AM-02:00 PM; Wed 10:00 AM-02:00 PM; Thu 10:00 AM-02:00 PM,
COMMUNITY HEALTH ACTION OF STATEN ISLAND,40.640213769227,-74.134309000398,FPM,,(718) 808-1477,"2134 Richmond Ter, Staten Island, New York, 10302",SI,10302,,Open,FP,Mon 02:30 PM-04:30 PM; Tue 02:30 PM-04:30 PM; Wed 02:30 PM-04:30 PM; Fri 02:30 PM-04:30 PM,
ACTS COMMUNITY DEVELOPMENT CORPORATION (FP),40.576109309018,-73.988429519342,FP,,(718) 415-1170,"2114 Mermaid Ave, Brooklyn, New York, 11224",BK,11224,,Open,FP,Tue 06:00 PM-07:15 PM; Thu 11:00 AM-02:15 PM,
BETHEL SEVENTH-DAY ADVENTIST CHURCH,40.681607169417,-73.961307776143,FP,SK,(917) 509-8412,"457 Grand Ave, Brooklyn, New York, 11238",BK,11238,,Open,"FP,SK",Wed 03:00 PM-05:00 PM,Sun 01:00 PM-02:00 PM
CHRISTIAN FELLOWSHIP SEVENTH DAY ADVENTIST COMMUNITY SVCS,40.654382538355,-73.933429063267,FP,SK,(718) 916-0956,"777 Schenectady Ave, Brooklyn, New York, 11203",BK,11203,,Open,"FP,SK",Wed 10:30 AM-12:30 PM,Mon 05:00 PM-06:00 PM; Tue 05:00 PM-06:00 PM; Wed 05:00 PM-06:00 PM
CORNERSTONE SEVENTH DAY ADVENTIST CHURCH (FP) (SK),40.674529238918,-73.896743233268,FP,SK,(917) 915-6769,"138 Pennsylvania Ave, Brooklyn, NY, 11207, USA",BK,11207,,Open,"FP,SK",Thu 10:00 AM-12:00 PM,Sun 11:30 AM-01:00 PM
THE OZONE PARK PANTRY (FP),40.683697322702,-73.857164473206,FP,,(646) 851-0885,"83-10 Rockaway Blvd, Ozone Park, New York, 11416",QN,11416,,Open,FP,Sat 10:30 AM-01:00 PM,
CHURCH OF GOD OF BRONXWOOD AVENUE,40.87237635202351,-73.85644195315263,FP,,(718) 652-0337,"3232 LURTING AVENUE, BX 10469",BX,10469,,Open,FP,Wed 10:00 AM-02:00 PM; Sat 10:00 AM-02:00 PM,
COLLECTIVE FOCUS FOOD JUSTICE PANTRY PROGRAM,40.695197126221,-73.932346791929,FP,,(724) 584-8501,"1046 Broadway, Brooklyn, NY, 11221, USA",BK,11221,,Open,FP,Tue 01:00 PM-03:00 PM,
FIRST BAPTIST CHURCH OF CORONA (FP),40.761622074415,-73.868736780187,FP,,(718) 446-0200,"100-10 Astoria Blvd, East Elmhurst, NY, 11369, USA",QN,11369,,Open,FP,Sat 12:00 PM-03:00 PM,
GOSHEN TEMPLE OF SEVENTH DAY ADVENTIST CHURCH (FP),40.650439900649,-73.955156884135,FP,,(917) 847-5528,"2414 Church Ave, Brooklyn, NY, 11226, USA",BK,11226,,Open,FP,Wed 01:00 PM-03:00 PM,
CATHEDRAL COMMUNITY CARES,40.80411681477173,-73.96257847266392,FP,,(347) 376-2898,"1047 Amsterdam Ave, New York, NY, 10025, USA",NY,10025,,Open,FP,Thu 12:00 PM-06:00 PM,
HOPE EMPOWERMENT AND DEVELOPMENT ZONE INC,40.6617543383789,-73.893592727321,FP,,(718) 568-7072,"369 New Lots Ave, Brooklyn, NY, 11207, USA",BK,11207,,Open,FP,Sat 12:00 PM-04:00 PM,
ICL AND CHN FOOD PANTRY,40.676002693677,-73.899179684883,FP,,(718) 495-6700,"2581 Atlantic Ave, Brooklyn, NY, 11207, USA",BK,11207,,Open,FP,Wed 01:00 PM-04:00 PM,
MANHATTAN DOWNTOWN MULTI-CULTURAL FOOD PANTY,40.72091909159,-73.989184309723,FP,,(347) 248-9726,"160 Allen St, New York, NY, 10002, USA",NY,10002,SUITE #20,Open,FP,Thu 08:30 AM-10:30 AM,
MUNA SOCIAL SERVICE AN-NAMIRAH (FPH),40.672360463381,-73.893611418965,FP,,(212) 920-6202,"2135 Pitkin Ave, Brooklyn, NY, 11207, USA",BK,11207,,Open,FP,Mon 02:00 PM-03:00 PM,
MUNA SOCIAL SERVICES BAITUL ISLAM MASJID (FPH),40.855621640038,-73.907041658604,FP,,(212) 920-6202,2107 DAVIDSON AVENUE,BX,10453,,Open,FP,Thu 02:00 PM-03:00 PM,
MUNA SOCIAL SERVICES BAITUN NOOR MASJID (FPH),40.680094822627,-73.84992276032,FP,,(212) 920-6202,"88-19 Liberty Ave, Ozone Park, NY, 11417, USA",QN,11417,,Open,FP,Thu 04:00 PM-05:00 PM,
MUNA SOCIAL SERVICE BROOKLYN ISLAMIC CENTER (FPH),40.645547383765,-73.972471549163,FP,,(212) 920-6202,"722 Church Ave, Brooklyn, NY, 11218, USA",BK,11218,,Open,FP,Mon 03:00 PM-04:00 PM,
MUNA SOCIAL SERVICES DOWNTOWN BROOKLYN (FPH),40.678597353715,-73.947060049487,FP,,(212) 920-6202,"50 New York Ave, Brooklyn, NY, 11216, USA",BK,11216,,Open,FP,Mon 04:00 PM-05:00 PM,
MUNA SOCIAL SERVICES EAST FLATBUSH (FPH),40.65189156246,-73.937045435392,FP,,(212) 920-6202,"167 EAST 43rd St, Brooklyn, NY, 11203, USA",BK,11203,,Open,FP,Mon 05:00 PM-06:00 PM,
MUNA SOCIAL SERVICES MASJID AR-RAYYAN (FPH),40.718758823685,-73.766691635254,FP,,(212) 920-6202,"196-43 Foothill Ave, Hollis, NY, 11423, USA",QN,11423,,Open,FP,Wed 02:00 PM-03:00 PM,
MUNA SOCIAL SERVICES PARKCHESTER ISLAMIC CENTER (FPH),40.83534979766,-73.86213921656,FP,,(212) 920-6202,"1375 Virginia Ave, Bronx, NY, 10462, USA",BX,10462,,Open,FP,Thu 04:00 PM-05:00 PM,
MUNA SOCIAL SERVICE SOUTH JAMAICA (FPH),40.697354879555,-73.789081123559,FP,,(212) 920-6202,"164-38 108th Ave, Jamaica, NY, 11453, USA",QN,11433,,Open,FP,Wed 04:00 PM-05:00 PM,
PAYO MOBILE FOOD PANTRY,40.61000924585852,-73.97475184592174,FPM,,(718) 713-2000,"2483 65th St, Brooklyn, NY, 11204, USA",BK,11204,,Open,FP,Fri 01:30 PM-02:30 PM,
REACH OUT AND TOUCH FOOD PANTRY,40.635894071607,-74.130501856157,FP,,(718) 442-5007,"51 Cottage Pl, Staten Island, NY, 10302, USA",SI,10302,,Open,FP,Sat 12:00 PM-01:00 PM,
RED HOOK COMMUNITY - REDEMPTION CHURCH (FP),40.677651791218,-74.005114787261,FP,,(347) 526-2728,"27 HUNGTINGTON STREET, BROOKLYN, NY 11231 ",BK,11231,,Open,FP,Thu 10:00 AM-12:00 PM,
THE KINGSBRIDGE HEIGHTS COMMUNITY CENTER INC (FP),40.87698434767,-73.901091341856,FP,,(718) 884-0700,"3067 Kingsbridge Ter, Bronx, NY, 10463, USA",BX,10463,,Open,FP,Tue 11:00 AM-02:30 PM; Thu 11:00 AM-02:30 PM,
THE LOWER EASTSIDE GIRLS CLUB (FP),40.640136194713,-73.971194817671,FP,,(212) 982-1633,402 EAST 8TH STREET,BK,11218,,Open,FP,Wed 09:00 AM-02:30 PM,
WE CREATE COMMUNITY FOOD PANTRY (FP),40.607235925555,-74.001487183385,FP,,(347) 409-5414,"8501 NEW UTRECHT AVENUE, B",BK,11214,,Open,FP,Thu 10:30 AM-11:30 AM,
WOODBINE (FP),40.706437258379,-73.90809987388,FP,,(646) 824-6064,"585 Woodward Ave, Ridgewood, NY, 11385, USA",QN,11385,,Open,FP,Mon 09:30 AM-10:00 AM; Wed 09:30 AM-10:00 AM,
YESHUA WORLDWIDE MINISTRIES FOOD PANTRY (FP),40.725685670378,-73.88025443716,FP,,(347) 507-1689,"79-11 Caldwell Ave, Middle Village, NY, 11379, USA",QN,11379,,Open,FP,Thu 10:00 AM-01:00 PM; Sat 10:00 AM-01:00 PM,
ZION TABERNACLE F.B.H. CHURCH,40.68115764794925,-73.83527454633045,FP,,(718) 717-9993,105-01 107 AV,QN,11417,,Open,FP,Tue 01:00 PM-03:00 PM,
ADMIRABLE CHRIST MINISTRIES FOOD PANTRY,40.839724732023,-73.851349276421,FP,,(570) 856-7065,"2361 Maclay Ave, Bronx, NY, 10462, USA",BX,10462,,Open,FP,Sat 02:00 PM-03:30 PM,
CITY OF REFUGE FP,40.670630480475,-73.876699169109,FP,,(929) 289-2267,"1115 Blake Ave, Brooklyn, NY, 11208, USA",BK,11208,,Open,FP,Wed 09:30 AM-12:00 PM,
COMMUNITY CHURCH OF CHRIST FOOD PANTRY,40.69797882842738,-73.78757673957737,FP,,(718) 523-2612,"167-04 108th Ave, Jamaica, NY, 11433, USA",QN,11433,,Open,FP,Wed 01:00 PM-03:00 PM,
FLATBUSH COMMUNITY FUND ,40.624301228963,-73.938892387757,FP,,(718) 850-3545,"1860 Flatbush Ave, Brooklyn, NY, 11210, USA",BK,11210,,Open,FP,Tue 12:00 PM-03:00 PM; Wed 12:00 PM-03:00 PM,
GRACE & PEACE FOOD BANK,40.813054480037,-73.85426416707,FP,,(718) 924-8839,"525 Compton Ave, Bronx, NY, 10473, USA",BX,10473,,Open,FP,Sat 09:00 AM-12:00 PM,
HOPE RESTORATION MINISTRIES,40.714219729749,-73.735422945458,FP,,(516) 689-7022,"101-01 Springfield Blvd, Queens Village, NY, 11429, USA",QN,11429,,Open,FP,Sat 02:00 PM-04:00 PM,
RCA CAMBRIA HEIGHTS COMMUNITY CHURCH FP,40.696438444171,-73.739669133788,FP,,(718) 528-2138,"116-12 220th St, Cambria Heights, NY, 11411, USA",QN,11411,,Open,FP,Sat 09:00 AM-11:00 AM,
SHOUT FOR JOY BAPTIST CHURCH INC,40.814702613658596,-73.8562856306584,FP,,(347) 400-0409,"456 White Plains Rd, Bronx, NY, 10473, USA",BX,10473,,Open,FP,Sat 08:00 AM-09:30 AM,
WORSHIP CHRISTIAN CENTER INC (FP),40.699057453637,-73.76300250821,FP,,(631) 482-0758,"113-16 Farmers Blvd, Saint Albans, NY, 11412, USA",QN,11412,,Open,FP,Fri 10:00 AM-01:00 PM; Sat 10:00 AM-01:00 PM,
BROOKLYN FAITH SEVENTH DAY ADVENTIST CHURCH,40.652373521893,-73.924916821497,FP,,(718) 342-6712,"5518 Church Ave, Brooklyn, NY, 11203, USA",BK,11203,,Open,FP,Thu 01:00 PM-04:00 PM,
"ELITE LEARNERS, INC (FP)",40.642011645549,-73.933537692732,FP,,(347) 221-0188,"4517 Avenue D, Brooklyn, NY, 11203, USA",BK,11203,,Open,FP,Thu 10:00 AM-12:00 PM,
PEOPLES BAPTIST CHURCH,40.66052119278373,-73.91285693920815,FP,,(718) 676-0318,"105 Riverdale Ave, Brooklyn, NY, 11212, USA",BK,11212,,Open,FP,Sat 12:00 PM-02:00 PM,
ST. ATHANASIUS R.C. CHURCH FP,40.61653065989563,-73.9799528168421,FP,,(718) 236-0124,2154 61st street ,BK,11204,,Open,FP,Mon 03:15 PM-05:00 PM,
